name,value,year,lastValue,rank
AUSTRALIA,-10481,2018.8,-17561,1
UNITED STATES,1745479,2018.8,2031632,1
CHINA,361585,2018.8,416582,1
RUSSIA,50461,2018.8,105150,1
SWITZERLAND,8383,2018.8,6571,1
CANADA,98683,2018.8,115120,1
GERMANY,133473,2018.8,99603,1
JAPAN,32697,2018.8,20151,1
ISRAEL,-81675,2018.8,-95646,1
RUSSIA,71368,2018.8,148715,1
AUSTRALIA,-14824,2018.8,-24837,1
CHINA,511397,2018.8,589179,1
NETHERLANDS,737362,2018.8,922990,1
BERMUDA,9019,2018.8,10888,1
SWITZERLAND,11856,2018.8,9294,1
BRAZIL,390221,2018.8,346532,1
BRITAIN,-12310,2018.8,-20195,1
UNITED STATES,2468663,2018.8,2873376,1
TAIWAN,4070,2018.8,-1927,1
SWEDEN,30156,2018.8,47233,1
FRANCE,39512,2018.8,39816,1
ITALY,49484,2018.8,80837,1
CHINA,308276,2018.8,361585,1
GERMANY,120623,2018.8,94373,1
SWEDEN,32942,2018.8,21322,1
JAPAN,31910,2018.8,23118,1
CANADA,47039,2018.8,69774,1
ISRAEL,-59455,2018.8,-57749,1
BERMUDA,21126,2018.8,6377,1
SWITZERLAND,12127,2018.8,8383,1
TAIWAN,-315,2018.8,2878,1
ITALY,27184,2018.8,34988,1
UNITED STATES,1751357,2018.8,1745479,1
BRITAIN,16345,2018.8,-8704,1
AUSTRALIA,-12799,2018.8,-10481,1
BRAZIL,222089,2018.8,275907,1
RUSSIA,52529,2018.8,50461,1
FRANCE,28596,2018.8,27937,1
NETHERLANDS,475682,2018.8,521355,1
UNITED STATES,2476977,2018.8,2468663,1
BERMUDA,29878,2018.8,9019,1
GERMANY,170599,2018.8,133473,1
CANADA,66528,2018.8,98683,1
NETHERLANDS,672766,2018.8,737362,1
AUSTRALIA,-18103,2018.8,-14824,1
SWEDEN,46591,2018.8,30156,1
TAIWAN,-445,2018.8,4070,1
CHINA,436000,2018.8,511397,1
BRITAIN,23117,2018.8,-12310,1
RUSSIA,74293,2018.8,71368,1
JAPAN,45130,2018.8,32697,1
SWITZERLAND,17151,2018.8,11856,1
BRAZIL,314104,2018.8,390221,1
ISRAEL,-84088,2018.8,-81675,1
FRANCE,40444,2018.8,39512,1
ITALY,38447,2018.8,49484,1
AUSTRALIA,-9231,2018.8,-12799,1
ITALY,23268,2018.8,27184,1
FRANCE,33655,2018.8,28596,1
UNITED STATES,1620339,2018.8,1751357,1
CHINA,300274,2018.8,308276,1
SWEDEN,31464,2018.8,32942,1
CANADA,51226,2018.8,47039,1
JAPAN,21716,2018.8,31910,1
BRAZIL,248134,2018.8,222089,1
RUSSIA,75993,2018.8,52529,1
TAIWAN,3472,2018.8,-315,1
GERMANY,103902,2018.8,120623,1
NETHERLANDS,505791,2018.8,475682,1
BRITAIN,5856,2018.8,16345,1
SWITZERLAND,5572,2018.8,12127,1
ISRAEL,-63037,2018.8,-59455,1
BERMUDA,31394,2018.8,21126,1
ISRAEL,-89155,2018.8,-84088,1
BRAZIL,350940,2018.8,314104,1
JAPAN,30713,2018.8,45130,1
RUSSIA,107479,2018.8,74293,1
FRANCE,47599,2018.8,40444,1
BRITAIN,8282,2018.8,23117,1
BERMUDA,44401,2018.8,29878,1
SWITZERLAND,7881,2018.8,17151,1
ITALY,32909,2018.8,38447,1
CHINA,424683,2018.8,436000,1
TAIWAN,4910,2018.8,-445,1
SWEDEN,44500,2018.8,46591,1
AUSTRALIA,-13055,2018.8,-18103,1
NETHERLANDS,715350,2018.8,672766,1
CANADA,72450,2018.8,66528,1
GERMANY,146951,2018.8,170599,1
UNITED STATES,2291677,2018.8,2476977,1
CANADA,90662,2018.8,51226,1
GERMANY,74824,2018.8,103902,1
RUSSIA,65171,2018.8,75993,1
AUSTRALIA,-9182,2018.8,-9231,1
ITALY,7427,2018.8,23268,1
BRITAIN,15402,2018.8,5856,1
UNITED STATES,1232237,2018.8,1620339,1
ISRAEL,-49502,2018.8,-63037,1
JAPAN,12945,2018.8,21716,1
CHINA,302568,2018.8,300274,1
SWITZERLAND,-8360,2018.8,5572,1
BELGIUM,-17507,2018.8,-8373,1
NETHERLANDS,534552,2018.8,505791,1
BRAZIL,313786,2018.8,248134,1
BERMUDA,31637,2018.8,31394,1
FRANCE,27076,2018.8,33655,1
TAIWAN,3490,2018.8,3472,1
ITALY,10505,2018.8,32909,1
RUSSIA,92173,2018.8,107479,1
CANADA,128225,2018.8,72450,1
BERMUDA,44745,2018.8,44401,1
BRAZIL,443794,2018.8,350940,1
JAPAN,18308,2018.8,30713,1
UNITED STATES,1742777,2018.8,2291677,1
TAIWAN,4936,2018.8,4910,1
AUSTRALIA,-12986,2018.8,-13055,1
ISRAEL,-70012,2018.8,-89155,1
BELGIUM,-24760,2018.8,-11843,1
BRITAIN,21784,2018.8,8282,1
NETHERLANDS,756027,2018.8,715350,1
FRANCE,38295,2018.8,47599,1
GERMANY,105825,2018.8,146951,1
SWITZERLAND,-11824,2018.8,7881,1
CHINA,427928,2018.8,424683,1
FRANCE,21170,2018.8,27076,1
RUSSIA,33337,2018.8,65171,1
NETHERLANDS,490228,2018.8,534552,1
BELGIUM,-17910,2018.8,-17507,1
BRAZIL,254812,2018.8,313786,1
GERMANY,87461,2018.8,74824,1
ISRAEL,-59853,2018.8,-49502,1
CANADA,161613,2018.8,90662,1
UNITED STATES,1134614,2018.8,1232237,1
BRITAIN,2481,2018.8,15402,1
CHINA,279740,2018.8,302568,1
SWITZERLAND,-10207,2018.8,-8360,1
ITALY,15358,2018.8,7427,1
AUSTRALIA,-7300,2018.8,-9182,1
BRITAIN,3509,2018.8,21784,1
FRANCE,29941,2018.8,38295,1
CHINA,395642,2018.8,427928,1
NETHERLANDS,693338,2018.8,756027,1
ISRAEL,-84651,2018.8,-70012,1
AUSTRALIA,-10325,2018.8,-12986,1
RUSSIA,47149,2018.8,92173,1
BRAZIL,360386,2018.8,443794,1
UNITED STATES,1604705,2018.8,1742777,1
BELGIUM,-25331,2018.8,-24760,1
SWITZERLAND,-14436,2018.8,-11824,1
CANADA,228573,2018.8,128225,1
ITALY,21721,2018.8,10505,1
GERMANY,123698,2018.8,105825,1
CANADA,132889,2018.8,161613,1
NETHERLANDS,414410,2018.8,490228,1
FRANCE,24477,2018.8,21170,1
ISRAEL,-23007,2018.8,-59853,1
AUSTRALIA,-4797,2018.8,-7300,1
SWITZERLAND,-4856,2018.8,-10207,1
BRAZIL,201007,2018.8,254812,1
BRITAIN,29871,2018.8,2481,1
GERMANY,45793,2018.8,87461,1
RUSSIA,13423,2018.8,33337,1
CHINA,257386,2018.8,279740,1
ITALY,-1531,2018.8,15358,1
BELGIUM,-13260,2018.8,-17910,1
UNITED STATES,816076,2018.8,1134614,1
JAPAN,11376,2018.8,12945,1
BERMUDA,55867,2018.8,31637,1
BRITAIN,42247,2018.8,3509,1
BERMUDA,79014,2018.8,44745,1
BRAZIL,284289,2018.8,360386,1
CANADA,187947,2018.8,228573,1
AUSTRALIA,-6785,2018.8,-10325,1
UNITED STATES,1154192,2018.8,1604705,1
ITALY,-2165,2018.8,21721,1
JAPAN,16090,2018.8,18308,1
BELGIUM,-18754,2018.8,-25331,1
CHINA,364026,2018.8,395642,1
RUSSIA,18985,2018.8,47149,1
SWITZERLAND,-6868,2018.8,-14436,1
GERMANY,64766,2018.8,123698,1
NETHERLANDS,586108,2018.8,693338,1
FRANCE,34618,2018.8,29941,1
ISRAEL,-32539,2018.8,-84651,1
BERMUDA,27449,2018.8,55867,1
CHINA,206295,2018.8,257386,1
SWITZERLAND,-12375,2018.8,-4856,1
NETHERLANDS,317573,2018.8,414410,1
JAPAN,10682,2018.8,11376,1
BRAZIL,311258,2018.8,201007,1
ISRAEL,-44983,2018.8,-23007,1
UNITED STATES,1023795,2018.8,816076,1
BRITAIN,74335,2018.8,29871,1
GERMANY,22149,2018.8,45793,1
BELGIUM,-487,2018.8,-13260,1
ITALY,4232,2018.8,-1531,1
FRANCE,19455,2018.8,24477,1
RUSSIA,43266,2018.8,13423,1
CANADA,250251,2018.8,132889,1
AUSTRALIA,-9140,2018.8,-4797,1
UNITED STATES,1447973,2018.8,1154192,1
NETHERLANDS,449150,2018.8,586108,1
AUSTRALIA,-12927,2018.8,-6785,1
BRITAIN,105133,2018.8,42247,1
ITALY,5986,2018.8,-2165,1
BRAZIL,440218,2018.8,284289,1
RUSSIA,61192,2018.8,18985,1
ISRAEL,-63620,2018.8,-32539,1
CANADA,353934,2018.8,187947,1
FRANCE,27515,2018.8,34618,1
GERMANY,31325,2018.8,64766,1
BERMUDA,38821,2018.8,79014,1
SWITZERLAND,-17503,2018.8,-6868,1
BELGIUM,-689,2018.8,-18754,1
JAPAN,15108,2018.8,16090,1
CHINA,291766,2018.8,364026,1
BERMUDA,22217,2018.8,27449,1
ITALY,9279,2018.8,4232,1
FRANCE,2262,2018.8,19455,1
GERMANY,32271,2018.8,22149,1
BELGIUM,-5679,2018.8,-487,1
RUSSIA,45332,2018.8,43266,1
BRITAIN,98722,2018.8,74335,1
UNITED STATES,917898,2018.8,1023795,1
CANADA,202851,2018.8,250251,1
SWITZERLAND,-13900,2018.8,-12375,1
ISRAEL,-42429,2018.8,-44983,1
BRAZIL,309451,2018.8,311258,1
JAPAN,11683,2018.8,10682,1
NETHERLANDS,292602,2018.8,317573,1
CHINA,198133,2018.8,206295,1
AUSTRALIA,-11165,2018.8,-9140,1
ISRAEL,-60009,2018.8,-63620,1
UNITED STATES,1298200,2018.8,1447973,1
ITALY,13123,2018.8,5986,1
BELGIUM,-8031,2018.8,-689,1
BERMUDA,31422,2018.8,38821,1
CHINA,280223,2018.8,291766,1
NETHERLANDS,413832,2018.8,449150,1
JAPAN,16524,2018.8,15108,1
RUSSIA,64113,2018.8,61192,1
AUSTRALIA,-15791,2018.8,-12927,1
BRITAIN,139625,2018.8,105133,1
GERMANY,45642,2018.8,31325,1
SWITZERLAND,-19659,2018.8,-17503,1
BRAZIL,437662,2018.8,440218,1
FRANCE,3200,2018.8,27515,1
CANADA,286896,2018.8,353934,1
GERMANY,34660,2018.8,32271,1
AUSTRALIA,-5197,2018.8,-11165,1
ITALY,10072,2018.8,9279,1
UNITED STATES,883480,2018.8,917898,1
ISRAEL,-41940,2018.8,-42429,1
JAPAN,7834,2018.8,11683,1
BELGIUM,-19752,2018.8,-5679,1
BERMUDA,-2119,2018.8,22217,1
FRANCE,1635,2018.8,2262,1
BRAZIL,295211,2018.8,309451,1
NETHERLANDS,256751,2018.8,292602,1
SWITZERLAND,-14979,2018.8,-13900,1
CHINA,313584,2018.8,198133,1
BRITAIN,110610,2018.8,98722,1
RUSSIA,35039,2018.8,45332,1
CANADA,139279,2018.8,202851,1
CHINA,443508,2018.8,280223,1
BERMUDA,-2997,2018.8,31422,1
NETHERLANDS,363128,2018.8,413832,1
FRANCE,2312,2018.8,3200,1
GERMANY,49021,2018.8,45642,1
SWITZERLAND,-21186,2018.8,-19659,1
ISRAEL,-59317,2018.8,-60009,1
ITALY,14245,2018.8,13123,1
UNITED STATES,1249523,2018.8,1298200,1
BELGIUM,-27935,2018.8,-8031,1
BRITAIN,156437,2018.8,139625,1
CANADA,196984,2018.8,286896,1
AUSTRALIA,-7351,2018.8,-15791,1
JAPAN,11080,2018.8,16524,1
RUSSIA,49556,2018.8,64113,1
BRAZIL,417522,2018.8,437662,1
NETHERLANDS,208963,2018.8,256751,1
CHINA,588244,2018.8,313584,1
BERMUDA,-2083,2018.8,-2119,1
SWITZERLAND,-14711,2018.8,-14979,1
ISRAEL,-36960,2018.8,-41940,1
GERMANY,41748,2018.8,34660,1
BELGIUM,-9340,2018.8,-19752,1
RUSSIA,33461,2018.8,35039,1
FRANCE,1620,2018.8,1635,1
BRITAIN,110905,2018.8,110610,1
BRAZIL,252428,2018.8,295211,1
ITALY,15568,2018.8,10072,1
UNITED STATES,764004,2018.8,883480,1
CANADA,134495,2018.8,139279,1
AUSTRALIA,-5716,2018.8,-5197,1
JAPAN,10597,2018.8,7834,1
ITALY,22018,2018.8,14245,1
BRAZIL,357014,2018.8,417522,1
ISRAEL,-52274,2018.8,-59317,1
SWITZERLAND,-20806,2018.8,-21186,1
CANADA,190219,2018.8,196984,1
UNITED STATES,1080546,2018.8,1249523,1
FRANCE,2291,2018.8,2312,1
BERMUDA,-2946,2018.8,-2997,1
CHINA,831965,2018.8,443508,1
JAPAN,14988,2018.8,11080,1
GERMANY,59045,2018.8,49021,1
NETHERLANDS,295540,2018.8,363128,1
RUSSIA,47325,2018.8,49556,1
BRITAIN,156855,2018.8,156437,1
BELGIUM,-13209,2018.8,-27935,1
AUSTRALIA,-8084,2018.8,-7351,1
UNITED STATES,990146,2018.8,764004,1
NETHERLANDS,239291,2018.8,208963,1
BELGIUM,-9226,2018.8,-9340,1
BRITAIN,114374,2018.8,110905,1
GERMANY,9683,2018.8,41748,1
RUSSIA,26502,2018.8,33461,1
SWITZERLAND,4753,2018.8,-14711,1
BRAZIL,153128,2018.8,252428,1
AUSTRALIA,-8899,2018.8,-5716,1
BERMUDA,257,2018.8,-2083,1
JAPAN,10752,2018.8,10597,1
CHINA,558632,2018.8,588244,1
CANADA,141685,2018.8,134495,1
FRANCE,2128,2018.8,1620,1
ISRAEL,-36306,2018.8,-36960,1
ITALY,5733,2018.8,15568,1
JAPAN,15207,2018.8,14988,1
BERMUDA,363,2018.8,-2946,1
RUSSIA,37482,2018.8,47325,1
BRITAIN,161761,2018.8,156855,1
AUSTRALIA,-12586,2018.8,-8084,1
CHINA,790083,2018.8,831965,1
BRAZIL,216571,2018.8,357014,1
SWITZERLAND,6722,2018.8,-20806,1
UNITED STATES,1400383,2018.8,1080546,1
ISRAEL,-51348,2018.8,-52274,1
CANADA,200387,2018.8,190219,1
BELGIUM,-13048,2018.8,-13209,1
GERMANY,13695,2018.8,59045,1
ITALY,8108,2018.8,22018,1
NETHERLANDS,338434,2018.8,295540,1
FRANCE,3009,2018.8,2291,1
NETHERLANDS,199567,2018.8,239291,1
FRANCE,1284,2018.8,2128,1
BERMUDA,3191,2018.8,257,1
ISRAEL,-45902,2018.8,-36306,1
ITALY,14878,2018.8,5733,1
BRITAIN,73568,2018.8,114374,1
CHINA,676892,2018.8,558632,1
BRAZIL,146177,2018.8,153128,1
SWITZERLAND,-10750,2018.8,4753,1
AUSTRALIA,-11151,2018.8,-8899,1
GERMANY,4354,2018.8,9683,1
JAPAN,13779,2018.8,10752,1
CANADA,215293,2018.8,141685,1
BELGIUM,6929,2018.8,-9226,1
UNITED STATES,971687,2018.8,990146,1
BERMUDA,4513,2018.8,363,1
NETHERLANDS,282251,2018.8,338434,1
UNITED STATES,1374275,2018.8,1400383,1
FRANCE,1816,2018.8,3009,1
AUSTRALIA,-15771,2018.8,-12586,1
BELGIUM,9799,2018.8,-13048,1
CANADA,304493,2018.8,200387,1
ISRAEL,-64920,2018.8,-51348,1
ITALY,21043,2018.8,8108,1
BRAZIL,206741,2018.8,216571,1
JAPAN,19488,2018.8,15207,1
BRITAIN,104049,2018.8,161761,1
GERMANY,6158,2018.8,13695,1
CHINA,957342,2018.8,790083,1
SWITZERLAND,-15204,2018.8,6722,1
BRITAIN,52600,2018.8,73568,1
BRAZIL,134644,2018.8,146177,1
GERMANY,9014,2018.8,4354,1
CHINA,541814,2018.8,676892,1
SWITZERLAND,-7617,2018.8,-10750,1
JAPAN,13302,2018.8,13779,1
AUSTRALIA,-7336,2018.8,-11151,1
BELGIUM,8847,2018.8,6929,1
CANADA,199144,2018.8,215293,1
NETHERLANDS,176092,2018.8,199567,1
ISRAEL,-40691,2018.8,-45902,1
FRANCE,1046,2018.8,1284,1
BERMUDA,4875,2018.8,3191,1
UNITED STATES,1024058,2018.8,971687,1
ITALY,9418,2018.8,14878,1
AUSTRALIA,-10376,2018.8,-15771,1
NETHERLANDS,249050,2018.8,282251,1
FRANCE,1479,2018.8,1816,1
BRITAIN,74393,2018.8,104049,1
BRAZIL,190430,2018.8,206741,1
UNITED STATES,1448344,2018.8,1374275,1
ISRAEL,-57550,2018.8,-64920,1
GERMANY,12748,2018.8,6158,1
BERMUDA,6894,2018.8,4513,1
ITALY,13320,2018.8,21043,1
CANADA,281654,2018.8,304493,1
CHINA,766298,2018.8,957342,1
JAPAN,18813,2018.8,19488,1
SWITZERLAND,-10773,2018.8,-15204,1
BELGIUM,12512,2018.8,9799,1
AUSTRALIA,-8521,2018.8,-7336,1
SWITZERLAND,-7761,2018.8,-7617,1
BRITAIN,76983,2018.8,52600,1
ISRAEL,-36807,2018.8,-40691,1
NETHERLANDS,176137,2018.8,176092,1
CHINA,478948,2018.8,541814,1
ITALY,6479,2018.8,9418,1
JAPAN,9075,2018.8,13302,1
FRANCE,1147,2018.8,1046,1
BRAZIL,155321,2018.8,134644,1
GERMANY,2034,2018.8,9014,1
CANADA,181978,2018.8,199144,1
BELGIUM,7333,2018.8,8847,1
BERMUDA,12895,2018.8,4875,1
UNITED STATES,1116903,2018.8,1024058,1
TAIWAN,3672,2018.8,3490,1
NETHERLANDS,249114,2018.8,249050,1
BERMUDA,18237,2018.8,6894,1
BRITAIN,108879,2018.8,74393,1
ITALY,9163,2018.8,13320,1
CHINA,677386,2018.8,766298,1
BRAZIL,219673,2018.8,190430,1
TAIWAN,5194,2018.8,4936,1
AUSTRALIA,-12051,2018.8,-10376,1
UNITED STATES,1579657,2018.8,1448344,1
JAPAN,12835,2018.8,18813,1
SWITZERLAND,-10976,2018.8,-10773,1
ISRAEL,-52057,2018.8,-57550,1
CANADA,257374,2018.8,281654,1
GERMANY,2876,2018.8,12748,1
BELGIUM,10371,2018.8,12512,1
FRANCE,1622,2018.8,1479,1
BERMUDA,16736,2018.8,12895,1
TAIWAN,2181,2018.8,3672,1
JAPAN,10581,2018.8,9075,1
CANADA,272032,2018.8,181978,1
BRITAIN,60941,2018.8,76983,1
GERMANY,6556,2018.8,2034,1
FRANCE,1437,2018.8,1147,1
NETHERLANDS,234207,2018.8,176137,1
BRAZIL,160343,2018.8,155321,1
ITALY,11909,2018.8,6479,1
ISRAEL,-43430,2018.8,-36807,1
UNITED STATES,1304455,2018.8,1116903,1
SWITZERLAND,-8958,2018.8,-7761,1
CHINA,619938,2018.8,478948,1
AUSTRALIA,-16200,2018.8,-8521,1
BELGIUM,1477,2018.8,7333,1
CHINA,876791,2018.8,677386,1
GERMANY,9272,2018.8,2876,1
CANADA,384739,2018.8,257374,1
NETHERLANDS,331243,2018.8,249114,1
AUSTRALIA,-22913,2018.8,-12051,1
TAIWAN,3085,2018.8,5194,1
BRITAIN,86190,2018.8,108879,1
BELGIUM,2089,2018.8,10371,1
BERMUDA,23670,2018.8,18237,1
UNITED STATES,1844915,2018.8,1579657,1
JAPAN,14965,2018.8,12835,1
ISRAEL,-61423,2018.8,-52057,1
ITALY,16843,2018.8,9163,1
FRANCE,2032,2018.8,1622,1
BRAZIL,226777,2018.8,219673,1
SWITZERLAND,-12669,2018.8,-10976,1
ITALY,14657,2018.8,11909,1
TAIWAN,-768,2018.8,2181,1
NETHERLANDS,283080,2018.8,234207,1
GERMANY,5976,2018.8,6556,1
BERMUDA,17616,2018.8,16736,1
BRAZIL,144635,2018.8,160343,1
ISRAEL,-41848,2018.8,-43430,1
SWITZERLAND,-8234,2018.8,-8958,1
CHINA,669301,2018.8,619938,1
FRANCE,1343,2018.8,1437,1
BRITAIN,57696,2018.8,60941,1
JAPAN,10624,2018.8,10581,1
AUSTRALIA,-10059,2018.8,-16200,1
UNITED STATES,1243210,2018.8,1304455,1
BELGIUM,3781,2018.8,1477,1
CANADA,253756,2018.8,272032,1
BRAZIL,204560,2018.8,226777,1
NETHERLANDS,400366,2018.8,331243,1
BRITAIN,81600,2018.8,86190,1
CHINA,946605,2018.8,876791,1
ITALY,20729,2018.8,16843,1
BELGIUM,5348,2018.8,2089,1
AUSTRALIA,-14226,2018.8,-22913,1
CANADA,358892,2018.8,384739,1
FRANCE,1899,2018.8,2032,1
ISRAEL,-59187,2018.8,-61423,1
GERMANY,8453,2018.8,9272,1
UNITED STATES,1758295,2018.8,1844915,1
JAPAN,15026,2018.8,14965,1
SWITZERLAND,-11645,2018.8,-12669,1
BERMUDA,24915,2018.8,23670,1
TAIWAN,-1086,2018.8,3085,1
UNITED STATES,1529618,2018.8,1243210,1
ISRAEL,-56622,2018.8,-41848,1
FRANCE,1239,2018.8,1343,1
GERMANY,4171,2018.8,5976,1
BRITAIN,46430,2018.8,57696,1
JAPAN,10281,2018.8,10624,1
ITALY,8194,2018.8,14657,1
BERMUDA,27321,2018.8,17616,1
NETHERLANDS,265929,2018.8,283080,1
CANADA,182629,2018.8,253756,1
BELGIUM,6193,2018.8,3781,1
AUSTRALIA,-13240,2018.8,-10059,1
SWITZERLAND,-14253,2018.8,-8234,1
TAIWAN,-3514,2018.8,-768,1
CHINA,594917,2018.8,669301,1
BRAZIL,164128,2018.8,144635,1
TAIWAN,-4969,2018.8,-1086,1
UNITED STATES,2163367,2018.8,1758295,1
BRAZIL,232129,2018.8,204560,1
BRITAIN,65667,2018.8,81600,1
SWITZERLAND,-20159,2018.8,-11645,1
JAPAN,14541,2018.8,15026,1
AUSTRALIA,-18726,2018.8,-14226,1
ITALY,11589,2018.8,20729,1
FRANCE,1752,2018.8,1899,1
NETHERLANDS,376108,2018.8,400366,1
ISRAEL,-80081,2018.8,-59187,1
GERMANY,5899,2018.8,8453,1
BELGIUM,8759,2018.8,5348,1
CHINA,841403,2018.8,946605,1
CANADA,258295,2018.8,358892,1
BERMUDA,38641,2018.8,24915,1
AUSTRALIA,-13690,2018.8,-13240,1
JAPAN,9415,2018.8,10281,1
BRITAIN,60367,2018.8,46430,1
GERMANY,4552,2018.8,4171,1
TAIWAN,-6145,2018.8,-3514,1
BELGIUM,-19980,2018.8,6193,1
CHINA,565719,2018.8,594917,1
CANADA,297128,2018.8,182629,1
UNITED STATES,1577969,2018.8,1529618,1
FRANCE,1106,2018.8,1239,1
SWITZERLAND,-15002,2018.8,-14253,1
BRAZIL,157766,2018.8,164128,1
ISRAEL,-59074,2018.8,-56622,1
BERMUDA,43475,2018.8,27321,1
NETHERLANDS,317796,2018.8,265929,1
ITALY,-1226,2018.8,8194,1
BERMUDA,61487,2018.8,38641,1
TAIWAN,-8691,2018.8,-4969,1
CANADA,420234,2018.8,258295,1
CHINA,800107,2018.8,841403,1
BRAZIL,223131,2018.8,232129,1
UNITED STATES,2231751,2018.8,2163367,1
ISRAEL,-83549,2018.8,-80081,1
GERMANY,6438,2018.8,5899,1
BRITAIN,85378,2018.8,65667,1
FRANCE,1564,2018.8,1752,1
JAPAN,13316,2018.8,14541,1
AUSTRALIA,-19362,2018.8,-18726,1
ITALY,-1734,2018.8,11589,1
SWITZERLAND,-21218,2018.8,-20159,1
NETHERLANDS,449465,2018.8,376108,1
BELGIUM,-28257,2018.8,8759,1
FRANCE,386,2018.9,1106,1
GERMANY,3608,2018.9,4552,1
TAIWAN,-8695,2018.9,-6145,1
BERMUDA,-23167,2018.9,43475,1
BRAZIL,389019,2018.9,157766,1
NETHERLANDS,315843,2018.9,317796,1
BELGIUM,14210,2018.9,-19980,1
SWITZERLAND,-9893,2018.9,-15002,1
CHINA,507331,2018.9,565719,1
JAPAN,5600,2018.9,9415,1
ISRAEL,-28271,2018.9,-59074,1
UNITED STATES,1265178,2018.9,1577969,1
BRITAIN,13067,2018.9,60367,1
ITALY,8279,2018.9,-1226,1
CANADA,374962,2018.9,297128,1
JAPAN,7920,2018.9,13316,1
UNITED STATES,1789365,2018.9,2231751,1
SWITZERLAND,-13992,2018.9,-21218,1
CANADA,530316,2018.9,420234,1
GERMANY,5103,2018.9,6438,1
FRANCE,546,2018.9,1564,1
BERMUDA,-32766,2018.9,61487,1
BRAZIL,550197,2018.9,223131,1
ITALY,11709,2018.9,-1734,1
TAIWAN,-12298,2018.9,-8691,1
ISRAEL,-39984,2018.9,-83549,1
NETHERLANDS,446703,2018.9,449465,1
BELGIUM,20098,2018.9,-28257,1
BRITAIN,18481,2018.9,85378,1
CHINA,717528,2018.9,800107,1
CHINA,493435,2018.9,507331,1
BRITAIN,8813,2018.9,13067,1
ITALY,2948,2018.9,8279,1
TAIWAN,-7997,2018.9,-8695,1
ARGENTINA,-103512,2018.9,25331,1
UNITED STATES,1239021,2018.9,1265178,1
FRANCE,388,2018.9,386,1
BRAZIL,338583,2018.9,389019,1
ISRAEL,-25956,2018.9,-28271,1
BERMUDA,-10525,2018.9,-23167,1
GERMANY,2388,2018.9,3608,1
CANADA,364266,2018.9,374962,1
SWITZERLAND,-10312,2018.9,-9893,1
BELGIUM,15066,2018.9,14210,1
JAPAN,5325,2018.9,5600,1
NETHERLANDS,342293,2018.9,315843,1
UNITED STATES,1752371,2018.9,1789365,1
NETHERLANDS,484112,2018.9,446703,1
ISRAEL,-36710,2018.9,-39984,1
TAIWAN,-11310,2018.9,-12298,1
BRITAIN,12464,2018.9,18481,1
SWITZERLAND,-14585,2018.9,-13992,1
ARGENTINA,-146400,2018.9,35826,1
BELGIUM,21308,2018.9,20098,1
BRAZIL,478864,2018.9,550197,1
GERMANY,3377,2018.9,5103,1
CANADA,515189,2018.9,530316,1
ITALY,4169,2018.9,11709,1
BERMUDA,-14886,2018.9,-32766,1
JAPAN,7531,2018.9,7920,1
FRANCE,548,2018.9,546,1
CHINA,697874,2018.9,717528,1
GERMANY,3540,2018.9,2388,1
ISRAEL,-29140,2018.9,-25956,1
BERMUDA,-7431,2018.9,-10525,1
FRANCE,-8832,2018.9,388,1
CANADA,381154,2018.9,364266,1
SWITZERLAND,-12371,2018.9,-10312,1
BRAZIL,367154,2018.9,338583,1
BELGIUM,5163,2018.9,15066,1
UNITED STATES,1273827,2018.9,1239021,1
ARGENTINA,-110724,2018.9,-103512,1
ITALY,-4976,2018.9,2948,1
HONG KONG,14,2018.9,25194,1
JAPAN,5137,2018.9,5325,1
CHINA,505380,2018.9,493435,1
BRITAIN,9385,2018.9,8813,1
TAIWAN,-11191,2018.9,-7997,1
NETHERLANDS,342690,2018.9,342293,1
HONG KONG,20,2018.9,35632,1
NETHERLANDS,484673,2018.9,484112,1
BRITAIN,13274,2018.9,12464,1
ITALY,-7038,2018.9,4169,1
ISRAEL,-41213,2018.9,-36710,1
BERMUDA,-10509,2018.9,-14886,1
GERMANY,5006,2018.9,3377,1
TAIWAN,-15827,2018.9,-11310,1
CANADA,539074,2018.9,515189,1
SWITZERLAND,-17497,2018.9,-14585,1
JAPAN,7265,2018.9,7531,1
CHINA,714768,2018.9,697874,1
UNITED STATES,1801598,2018.9,1752371,1
BELGIUM,7302,2018.9,21308,1
BRAZIL,519273,2018.9,478864,1
FRANCE,-12491,2018.9,548,1
ARGENTINA,-156599,2018.9,-146400,1
JAPAN,2839,2018.9,5137,1
TAIWAN,-13375,2018.9,-11191,1
SWITZERLAND,-12262,2018.9,-12371,1
ARGENTINA,-93345,2018.9,-110724,1
CHINA,450750,2018.9,505380,1
NETHERLANDS,383950,2018.9,342690,1
BELGIUM,631,2018.9,5163,1
HONG KONG,-21461,2018.9,14,1
ISRAEL,-23318,2018.9,-29140,1
BRAZIL,340456,2018.9,367154,1
UNITED STATES,992517,2018.9,1273827,1
FRANCE,-7667,2018.9,-8832,1
GERMANY,3510,2018.9,3540,1
ITALY,5096,2018.9,-4976,1
BRITAIN,21210,2018.9,9385,1
BERMUDA,1129,2018.9,-7431,1
CANADA,596001,2018.9,381154,1
BERMUDA,1596,2018.9,-10509,1
ISRAEL,-32979,2018.9,-41213,1
NETHERLANDS,543027,2018.9,484673,1
HONG KONG,-30353,2018.9,20,1
CANADA,842936,2018.9,539074,1
BRITAIN,29998,2018.9,13274,1
GERMANY,4965,2018.9,5006,1
